sparql,ground_truth,generated,template,hub_id,context,f1-BERTScore,precision-BERTScore,recall-BERTScore
SELECT ?creatures WHERE {  ?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasAlignment> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#chaoticGood> MINUS{?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasLanguages> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#DraconicL>} },which creatures not speaking draconic language do have chaotic good alignment?,What chaotic good entities do not speak Draconic?,LLAMA3_CoT0,meta-llama/Meta-Llama-3-8B-Instruct,False,0.9615710377693176,0.9557151198387146,0.9674991965293884
"SELECT (if(COUNT(?cay_SpecAbils)>COUNT(?aas_SpecAbils), 'True', 'False') as ?res) WHERE {  <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#caypup> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasSpecAbils> ?cay_SpecAbils. <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#aasimar> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasSpecAbils> ?aas_SpecAbils }",does Caypup have more special abilities than Aasimar?,Is the number of specific abilities of 'caypup' greater than that of 'aasimar'?,LLAMA3_CoT0,meta-llama/Meta-Llama-3-8B-Instruct,False,0.9663373827934265,0.9682449102401733,0.9644371867179871
SELECT (COUNT(?creatures) as ?n_creatures) WHERE {  ?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasLanguages> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#TreantL> MINUS{?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasAlignment> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#trueNeutral>} MINUS{?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasAlignment> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#chaoticNeutral>} MINUS{?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasAlignment> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#lawfulNeutral>} },how many creatures with non-neutral alignment do speak treant language?,"How many creatures speak the ""TreantL"" language and are not morally aligned with true neutrality, chaotic neutrality, or lawful neutrality?",LLAMA3_CoT0,meta-llama/Meta-Llama-3-8B-Instruct,False,0.9607393145561218,0.9597687721252441,0.9617118835449219
SELECT ?common_spells WHERE { <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#aasimar> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#canSpell> ?common_spells. <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#caypup> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#canSpell> ?common_spells },what spells Aasimar and Caypup do have in common?,What spells can both Aasimar and Caypup cast?,LLAMA3_CoT0,meta-llama/Meta-Llama-3-8B-Instruct,False,0.9618425369262695,0.9566121697425842,0.9671303629875183
"SELECT (if(?n_creatures_1>?n_creatures_2, 'True', 'False') as ?res) WHERE {  {SELECT (COUNT(?creatures_1) as ?n_creatures_1) WHERE { ?creatures_1 <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasLanguages> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#AbyssalL>; <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasLanguages> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#AkloL>}} {SELECT (COUNT(?creatures_2) as ?n_creatures_2) WHERE { ?creatures_2 <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasLanguages> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#InfernalL>; <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasLanguages> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#TerranL>}} }",is the number of creatures speaking both abyssal and aklo languages greater than infernal and terran?,Are there more creatures that have Abyssal and Aklo languages than those that have Infernal and Terran languages?,LLAMA3_CoT0,meta-llama/Meta-Llama-3-8B-Instruct,False,0.9639546275138855,0.9605571031570435,0.9673763513565063
SELECT ?Alignment WHERE { ?subjects <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasAlignment> ?Alignment } GROUP BY ?Alignment ORDER BY DESC (COUNT(?Alignment)) LIMIT 1,what is the most common alignment type?,What is the most frequently mentioned alignment?,LLAMA3_CoT0,meta-llama/Meta-Llama-3-8B-Instruct,False,0.9612635374069214,0.9595087766647339,0.9630247354507446
"SELECT (COUNT(?creatures) as ?n_robots)  WHERE {  ?creatures <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#Beast>  FILTER regex(str(?creatures), 'robot', 'i' )  }",how many types of robots are among creatures?,"How many creatures are beasts and contain the word ""robot"" in their name?",LLAMA3_CoT0,meta-llama/Meta-Llama-3-8B-Instruct,False,0.9632574915885925,0.9650412797927856,0.9614802598953247
"SELECT ?res  WHERE {  {SELECT (COUNT(?good) as ?n_good)  WHERE{  ?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasAlignment> ?Alignment  BIND(str(?Alignment) as ?good)  FILTER regex(?good, 'good', 'i')} }  {SELECT (COUNT(?evil) as ?n_evil)  WHERE{ ?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasAlignment> ?Alignment  BIND(str(?Alignment) as ?evil)  FILTER regex(?evil, 'evil', 'i')} }  BIND(if((?n_good>?n_evil), 'True', 'False') as ?res)  }",are creatures with good alignment more common than evil?,Are there more creatures with a good alignment than an evil alignment?,LLAMA3_CoT0,meta-llama/Meta-Llama-3-8B-Instruct,False,0.9636045098304749,0.9652926325798035,0.961922287940979
SELECT  DISTINCT ?creatures WHERE { ?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasResists> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#cold> },what creatures do have cold resist?,What are the creatures that have resistance to cold?,LLAMA3_CoT0,meta-llama/Meta-Llama-3-8B-Instruct,False,0.9674110412597656,0.9671889543533325,0.9676332473754883
"SELECT ((?n_dragon_with_languages/?n_dragons)*100 as ?percentage) WHERE { {SELECT (COUNT(DISTINCT(?dragon)) as ?n_dragons) WHERE {  ?creatures <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#Beast>; <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasLanguages> ?language BIND(str(?creatures) as ?dragon) FILTER regex(?dragon,'dragon', 'i')}} {SELECT (COUNT(DISTINCT(?dragon_with_languages)) as ?n_dragon_with_languages) WHERE {  ?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasLanguages> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#DraconicL>; <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasLanguages> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#CommonL> BIND(str(?creatures) as ?dragon_with_languages) FILTER regex(?dragon_with_languages,'dragon', 'i')}} }",what percentage of dragons do speak both draconic and common languages?,"What percentage of all creatures are considered ""dragons"" that have both Draconic and Common languages?",LLAMA3_CoT0,meta-llama/Meta-Llama-3-8B-Instruct,False,0.9640218019485474,0.9615511298179626,0.9665051698684692
