sparql,ground_truth,generated,template,hub_id,context,f1-BERTScore,precision-BERTScore,recall-BERTScore
SELECT ?creatures WHERE {  ?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasAlignment> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#chaoticGood> MINUS{?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasLanguages> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#DraconicL>} },which creatures not speaking draconic language do have chaotic good alignment?,Which creatures are chaotic good but do not speak Draconic?,MISTRAL_CoT0,mistralai/Mistral-7B-Instruct-v0.2,False,0.9686495065689087,0.9664692878723145,0.9708396196365356
"SELECT (if(COUNT(?cay_SpecAbils)>COUNT(?aas_SpecAbils), 'True', 'False') as ?res) WHERE {  <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#caypup> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasSpecAbils> ?cay_SpecAbils. <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#aasimar> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasSpecAbils> ?aas_SpecAbils }",does Caypup have more special abilities than Aasimar?,Does a Caypup have more special abilities than an Aasimar?,MISTRAL_CoT0,mistralai/Mistral-7B-Instruct-v0.2,False,0.9650400280952454,0.964221715927124,0.9658597111701965
SELECT (COUNT(?creatures) as ?n_creatures) WHERE {  ?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasLanguages> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#TreantL> MINUS{?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasAlignment> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#trueNeutral>} MINUS{?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasAlignment> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#chaoticNeutral>} MINUS{?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasAlignment> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#lawfulNeutral>} },how many creatures with non-neutral alignment do speak treant language?,How many Treant creatures are neither good nor evil nor neutral?,MISTRAL_CoT0,mistralai/Mistral-7B-Instruct-v0.2,False,0.9644901156425476,0.9615065455436707,0.9674922823905945
SELECT ?common_spells WHERE { <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#aasimar> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#canSpell> ?common_spells. <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#caypup> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#canSpell> ?common_spells },what spells Aasimar and Caypup do have in common?,What are the common spells that both Aasimar and Caypup can cast?,MISTRAL_CoT0,mistralai/Mistral-7B-Instruct-v0.2,False,0.9639794230461121,0.9640534520149231,0.963905394077301
"SELECT (if(?n_creatures_1>?n_creatures_2, 'True', 'False') as ?res) WHERE {  {SELECT (COUNT(?creatures_1) as ?n_creatures_1) WHERE { ?creatures_1 <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasLanguages> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#AbyssalL>; <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasLanguages> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#AkloL>}} {SELECT (COUNT(?creatures_2) as ?n_creatures_2) WHERE { ?creatures_2 <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasLanguages> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#InfernalL>; <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasLanguages> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#TerranL>}} }",is the number of creatures speaking both abyssal and aklo languages greater than infernal and terran?,Are there more creatures that speak Abyssal and Aklo than those that speak Infernal and Terran?,MISTRAL_CoT0,mistralai/Mistral-7B-Instruct-v0.2,False,0.9624432325363159,0.9657544493675232,0.9591545462608337
SELECT ?Alignment WHERE { ?subjects <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasAlignment> ?Alignment } GROUP BY ?Alignment ORDER BY DESC (COUNT(?Alignment)) LIMIT 1,what is the most common alignment type?,Which alignment is the most common?,MISTRAL_CoT0,mistralai/Mistral-7B-Instruct-v0.2,False,0.9654701948165894,0.9667053818702698,0.9642382264137268
"SELECT (COUNT(?creatures) as ?n_robots)  WHERE {  ?creatures <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#Beast>  FILTER regex(str(?creatures), 'robot', 'i' )  }",how many types of robots are among creatures?,How many robots are there in the dataset?,MISTRAL_CoT0,mistralai/Mistral-7B-Instruct-v0.2,False,0.9631330370903015,0.9625632762908936,0.9637035131454468
"SELECT ?res  WHERE {  {SELECT (COUNT(?good) as ?n_good)  WHERE{  ?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasAlignment> ?Alignment  BIND(str(?Alignment) as ?good)  FILTER regex(?good, 'good', 'i')} }  {SELECT (COUNT(?evil) as ?n_evil)  WHERE{ ?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasAlignment> ?Alignment  BIND(str(?Alignment) as ?evil)  FILTER regex(?evil, 'evil', 'i')} }  BIND(if((?n_good>?n_evil), 'True', 'False') as ?res)  }",are creatures with good alignment more common than evil?,Are there more good creatures than evil creatures?,MISTRAL_CoT0,mistralai/Mistral-7B-Instruct-v0.2,False,0.9615090489387512,0.9599278569221497,0.9630954265594482
SELECT  DISTINCT ?creatures WHERE { ?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasResists> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#cold> },what creatures do have cold resist?,Which creatures can resist cold?,MISTRAL_CoT0,mistralai/Mistral-7B-Instruct-v0.2,False,0.9591218829154968,0.9570255279541016,0.9612274169921875
"SELECT ((?n_dragon_with_languages/?n_dragons)*100 as ?percentage) WHERE { {SELECT (COUNT(DISTINCT(?dragon)) as ?n_dragons) WHERE {  ?creatures <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#Beast>; <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasLanguages> ?language BIND(str(?creatures) as ?dragon) FILTER regex(?dragon,'dragon', 'i')}} {SELECT (COUNT(DISTINCT(?dragon_with_languages)) as ?n_dragon_with_languages) WHERE {  ?creatures <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasLanguages> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#DraconicL>; <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#hasLanguages> <http://www.semanticweb.org/annab/ontologies/2022/3/ontology#CommonL> BIND(str(?creatures) as ?dragon_with_languages) FILTER regex(?dragon_with_languages,'dragon', 'i')}} }",what percentage of dragons do speak both draconic and common languages?,What percentage of dragons have both Draconic and Common languages?,MISTRAL_CoT0,mistralai/Mistral-7B-Instruct-v0.2,False,0.9614859819412231,0.9625163078308105,0.9604578018188477
